epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.5633,0.60661,0.86765,1,0.29489,0.00030006,0.00030006,0.00030006
2,20.8501,0.40432,0.94118,1,0.18523,0.000586259,0.000586259,0.000586259
3,30.9926,0.23644,0.95588,1,0.08392,0.000841102,0.000841102,0.000841102
4,41.205,0.2182,0.98529,1,0.03339,0.00106459,0.00106459,0.00106459
5,51.4542,0.20073,0.99265,1,0.0255,0.00125672,0.00125672,0.00125672
6,61.7511,0.27279,1,1,0.01377,0.00125442,0.00125442,0.00125442
7,72.0267,0.12819,1,1,0.01412,0.0011719,0.0011719,0.0011719
8,82.3809,0.31673,1,1,0.00899,0.00108938,0.00108938,0.00108938
9,93.0213,0.36588,1,1,0.02131,0.00100687,0.00100687,0.00100687
10,103.282,0.35191,0.98529,1,0.03489,0.000924352,0.000924352,0.000924352
11,113.668,0.14294,0.98529,1,0.02168,0.000841835,0.000841835,0.000841835
12,124.179,0.10167,1,1,0.00517,0.000759318,0.000759318,0.000759318
13,134.68,0.37985,1,1,0.00573,0.000676802,0.000676802,0.000676802
14,144.756,0.10362,1,1,0.00539,0.000594286,0.000594286,0.000594286
15,154.83,0.3336,1,1,0.00528,0.000511769,0.000511769,0.000511769
16,164.96,0.06349,1,1,0.01174,0.000429253,0.000429253,0.000429253
17,175.104,0.26475,1,1,0.00831,0.000346736,0.000346736,0.000346736
18,185.273,0.3047,1,1,0.00757,0.00026422,0.00026422,0.00026422
19,195.687,0.06982,1,1,0.00709,0.000181703,0.000181703,0.000181703
20,206.15,0.06938,1,1,0.00975,9.91865e-05,9.91865e-05,9.91865e-05
